state,year,population,index,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,assault_crime,burglary_crime,larceny_theft_crime,vehicle_theft_crime
South Dakota,2016,816598,17384,2196,15188,23,385,154,1634,3192,11196,800
South Dakota,2015,823593,17404,2105,15299,20,503,167,1415,2927,11423,949
South Dakota,2014,833354,19850,2701,17326,23,600,157,1921,3280,12973,1073
South Dakota,2013,845510,19007,2733,16274,18,454,156,2052,3383,11955,936
South Dakota,2012,853304,18837,2801,16036,23,336,199,2101,2817,12209,1010
South Dakota,2011,857919,20041,3302,16739,33,367,215,2554,2969,12576,1194
South Dakota,2010,865454,20762,3621,17141,27,379,272,2813,3000,12639,1502
Tennessee,2016,6357436,271764,38909,232855,359,2173,8361,28016,64293,153729,14833
Tennessee,2015,6399787,269795,38895,230900,380,2095,8082,28338,62830,153928,14142
Tennessee,2014,6454914,259138,41213,217925,400,2047,8151,30615,56231,148731,12963
Tennessee,2013,6497269,245746,38063,207683,335,1904,7333,27895,51334,144443,11906
Tennessee,2012,6547779,240900,39989,200911,369,1870,7268,29757,46798,141464,12649
Tennessee,2011,6595056,236863,40816,196047,418,2032,7499,30098,43753,139259,13035
Tennessee,2010,6651194,231932,42097,189835,486,1991,7813,31084,40312,134404,15119
Texas,2016,25253466,1064477,113231,951246,1249,7622,32843,71517,228597,654626,68023
Texas,2015,25631778,997544,104734,892810,1130,7486,28620,67498,215775,613131,63924
Texas,2014,26060796,982934,106475,876459,1148,7715,30385,67227,205002,606425,65032
Texas,2013,26505637,971046,108757,862289,1140,7610,31810,65351,191062,605440,65787
Texas,2012,26979078,923226,109711,813515,1192,8400,31021,65862,168085,577018,68412
Texas,2011,27429639,892427,113193,779234,1317,8941,31924,67629,153067,558653,67514
Texas,2010,27862596,889989,121042,768947,1478,9858,33317,72880,148740,551151,69056
Utah,2016,2775479,94241,5925,88316,53,983,1269,3620,15095,67242,5979
Utah,2015,2814347,89631,5547,84084,50,901,1079,3517,13170,64727,6187
Utah,2014,2854871,92223,5939,86284,52,975,1105,3807,13095,67157,6032
Utah,2013,2902787,94978,6644,88334,51,926,1247,3824,13727,67115,7492
Utah,2012,2944498,91937,6464,85473,66,1114,1313,3538,11656,66487,7330
Utah,2011,2990632,96935,7138,89797,57,1247,1329,4048,12606,68464,8727
Utah,2010,3051217,97465,7407,90058,72,1116,1541,4274,12836,67834,9388
Vermont,2016,625909,14980,820,14160,7,141,76,596,3348,10373,439
Vermont,2015,626592,16011,925,15086,11,146,99,669,3838,10720,528
Vermont,2014,625953,16544,891,15653,8,131,114,638,4179,11014,460
Vermont,2013,626855,14657,775,13882,10,113,75,554,3352,10193,337
Vermont,2012,626767,10364,643,9721,10,85,72,444,2092,7375,254
Vermont,2011,626088,9811,747,9064,10,104,105,482,2034,6834,196
Vermont,2010,624594,11591,989,10602,14,124,106,691,2103,8217,282
Virginia,2016,8023953,204587,17184,187403,376,1580,5678,9550,30804,145990,10609
Virginia,2015,8104384,198916,16014,182902,304,1591,5425,8694,30656,142476,9770
Virginia,2014,8186628,194110,15676,178434,322,1505,4718,9131,29651,139654,9129
Virginia,2013,8270345,187913,16355,171558,320,1476,4574,9111,26717,136215,8626
Virginia,2012,8328098,178456,16522,161934,350,1687,4294,9462,23210,131001,7723
Virginia,2011,8367587,174508,16705,157803,390,1767,4459,9357,21542,128064,8197
Virginia,2010,8411808,174714,18302,156412,484,1965,4803,10278,20018,126606,9788
Washington,2016,6742950,270564,21138,249426,154,2579,5929,12476,55192,168490,25744
Washington,2015,6823267,264361,20152,244209,163,2320,5627,12042,56561,162828,24820
Washington,2014,6895318,274930,20553,254377,217,2250,5801,12285,61376,166338,26663
Washington,2013,6973742,279362,20223,259139,167,2072,5829,11623,58487,172227,28425
Washington,2012,7063166,281442,20185,261257,178,1999,5641,11586,55381,175317,30559
Washington,2011,7160290,269979,20505,249474,218,2006,5450,12059,51114,171393,26967
Washington,2010,7288000,276676,22023,254653,195,2259,5651,13100,49180,173187,32286
West Virginia,2016,1854368,46887,5586,41301,58,362,776,4390,10778,28104,2419
