,state,latitude,longitude,n_killed,location_description
7092,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
7169,North Carolina,35.6618,-81.9732,1,Express Mart
7205,New York,40.7495,-73.9893,1,St Nichols Houses
7206,Pennsylvania,40.0259,-76.2217,0,Converse / Tanger Outlets
7338,Mississippi,32.3732,-88.6853,0,Highway Village
7340,Indiana,38.3254,-85.7125,0,Your Community Bank
7344,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
7348,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
7385,Mississippi,30.443,-88.9163,0,Cook's Gun Shop
7390,Wisconsin,42.8138,-87.8384,1,Shooter's Sports Center
7396,Illinois,38.5984,-89.959,0,Ron and Jo’s Firearms & Sporting Supplies
7397,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
7398,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
7399,Ohio,41.717,-83.6734,0,Marathon Gas Station
7483,Indiana,41.0743,-85.272,1,S & V Liquors
7484,Vermont,44.4643,-73.1598,0,Kinney Drugs
7491,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
7492,Louisiana,29.9822,-90.2567,0,New Orleans Int'l (MSY)
7595,Texas,29.7558,-95.3669,0,Starbucks
7599,Mississippi,30.3818,-89.0974,0,Cook's Gun Shop
7600,Maryland,39.2558,-76.4845,1,Key Landing Apartments
7601,Michigan,41.7491,-83.6294,0,Education Plus Credit Union
7605,Louisiana,29.9674,-92.1288,0,Tikki's Lounge
7607,Mississippi,30.4431,-88.9161,0,Cook's Gun Shop
7670,Texas,29.5296,-98.4111,1,Chacho’s and Chalucci’s restaurant
7784,Pennsylvania,40.4558,-79.9028,1,Rendezvous Phase III
7837,Ohio,41.4725,-81.6093,0,Zelma George Recreation Center
7839,Illinois,41.9235,-87.8125,0,Elmwood Park Police Training Center
7841,South Carolina,33.9468,-81.1244,0,CAE Metro Airport
7919,Michigan,41.7363,-83.5477,0,Bedford Inn
7927,Tennessee,35.6614,-88.8551,0,Rodeway Inn
8027,Utah,40.2942,-109.84,0,Uintah And Ouray Indian Reservation
8064,Florida,26.7758,-80.0566,2,Florida Sunshine Tires and Auto Center
8099,Louisiana,29.9822,-90.2567,0,New Orleans Int'l (MSY)
8216,Texas,25.9777,-97.5283,0,Academy Sports and Outdoors
8248,Georgia,33.4688,-82.0996,0,Cabela's
8250,Ohio,39.9025,-84.2218,0,DAY Int'l Airport
8251,New York,42.9393,-78.7352,0,BUF Int'l Airport
8252,Arkansas,36.3158,-91.4825,0,FNBC Bank
8360,North Carolina,36.1165,-80.0664,0,East Mountain Sweepstakes
8361,Pennsylvania,39.7687,-76.6781,0,Choice Cigarette Outlet #4891
8467,Virginia,38.3215,-77.7088,0,Fas Mart
8472,Tennessee,35.985,-83.8963,0,BJ’s Market
8473,Tennessee,35.645,-88.8011,0,Phillips 66
8479,Ohio,39.8427,-84.4248,0,Speedway
8562,South Carolina,32.916,-80.1107,0,Club Rehab
8563,North Carolina,36.2321,-76.1573,0,Bull Shooter’s Supply
8564,Tennessee,35.1853,-89.869,1,Sycamore Lake Apartments
8565,Wisconsin,43.1933,-88.2635,0,Mobile gas station
8585,Arizona,33.3721,-112.575,1,Don Lalo Auto Repair
8686,Tennessee,35.3932,-86.7444,0,Kangaroo Mart
8687,South Carolina,32.9766,-80.0681,0,Kangaroo Express
8689,Louisiana,29.9822,-90.2567,0,New Orleans Int'l (MSY)
8698,Texas,29.9177,-95.4153,0,Chase Bank
8726,Arkansas,36.2576,-94.2927,0,XNA Regional Airport
8880,Illinois,41.506,-90.5532,0,Augustana College
8890,Texas,31.4526,-100.439,0,Desiree's Nightclub
8897,Missouri,38.5957,-90.5413,2,Baber State Park
8903,Maryland,38.8643,-76.6187,0,Southern High School
9014,Florida,28.3538,-81.3614,0,CVS Pharmacy
9017,Michigan,42.8858,-85.5315,0,GRR Int'l Airport
9019,Illinois,38.5488,-89.9465,0,Midwest Petroleum
9021,North Carolina,34.2623,-77.8291,0,CVS
9022,Alabama,34.9161,-87.5319,0,White's Trading Post
9030,New York,41.4644,-74.3734,1,Super 8
9127,California,34.5376,-117.25200000000001,0,Charley's Urban Tactical Supplies
9129,Florida,29.2093,-81.0358,1,VIP Barbershop
9166,Ohio,41.4302,-81.5889,1,Word of Righteousness Family Life Center
9343,Louisiana,29.9822,-90.2567,0,New Orleans Int'l (MSY)
9344,Connecticut,41.8732,-72.6577,0,River's Bend Apartments
9352,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
9453,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
9474,New York,40.7411,-73.617,1,Mint
9479,Virginia,37.3556,-78.8228,0,Carver Price Cultural Center
9543,Michigan,43.0415,-83.4406,0,Lapeer County Bank & Trust
9641,Nevada,36.1147,-115.17299999999999,0,Excalibur
9802,Colorado,39.7426,-104.84,1,Anschutz Medical Center
9803,Washington,47.5174,-122.354,1,Roxbury Texaco
9811,North Carolina,35.0699,-80.6989,0,Circle K
9974,Ohio,41.1363,-81.7925,0,Dairy Queen
9976,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
9978,Ohio,41.1363,-81.7925,0,Dairy Queen
9982,Virginia,38.8504,-77.0448,0,DCA Nat'l Airport
10084,Texas,29.6401,-95.6077,1,Global Casework Manufacturing
10106,Arizona,33.7128,-112.11399999999999,0,Walmart Supercenter
10108,Arkansas,33.0623,-91.5711,0,Delta Trust and Bank
10112,Wisconsin,42.9478,-87.9096,0,MKE Int'l Airport
10115,Tennessee,35.8067,-83.9763,0,TYS Knoxville Airport
10139,Delaware,39.686,-75.6814,0,Exxon Gas Station
10140,Missouri,38.9254,-94.50200000000001,0,Ruskin Heights neighborhood
10173,Indiana,39.8171,-86.32600000000001,1,C & C Midwest Firearms
10175,Kentucky,38.2931,-85.6761,0,Waterfront Park
10244,New Jersey,40.8924,-74.1386,1,Zamzam
10253,Washington,45.6489,-122.59100000000001,0,Wal-Mart Neighborhood Market
10256,Delaware,39.6548,-75.7884,0,"State Line Cigarette Outlet,"
10435,Idaho,47.6872,-116.78399999999999,2,Daly House
10437,South Carolina,34.8783,-82.2245,0,GSP Int'l Airport
10452,Louisiana,29.9822,-90.2567,0,New Orleans Int'l (MSY)
10461,Arkansas,35.3288,-91.56200000000001,0,Exxon
10491,Rhode Island,41.7279,-71.4381,0,PVD Int'l Airport
10503,Texas,32.6958,-96.7727,0,Sunrise Village Apts
10518,Ohio,40.8322,-81.3275,0,Broasters Chicken
10522,Texas,32.8881,-97.0374,0,DFW Int'l Airport
10523,Nevada,36.1015,-115.208,0,Jack In The Box
10646,California,37.6689,-122.115,0,East Bay Arts HS
10654,Alabama,30.3342,-87.7277,0,Whispering Oaks Mobile Home Park
10666,Pennsylvania,40.0389,-75.1438,0,Dunkin' Donuts
